texto_conversacion,intencion_consenso,intencion_heuristica_baseline,fuente,fecha,estado_crm,etiqueta_crm
CIUDAD: Cuenca | MENSAJE: Expectacular  proyecto  eres un artista !!!,INF,INF,WhatsApp,23/11/2025,,
CIUDAD: Manta | MENSAJE: ‎IMG-20250305-WA0044.jpg (archivo adjunto),,INF,WhatsApp,5/3/2025,,
"ETIQUETA: Informacion General, Asesoramiento Tecnico | ESTADO: Contactado | CONSULTA: Consulta sobre producto | NOTAS: interesado en moldes para fachada de un proyecto",INF,INF,CRM2,12/06/2024,Contactado,"Informacion General, Asesoramiento Tecnico"
"ETIQUETA: Cotizacion Materiales, Asesoramiento Tecnico | ESTADO: Contactado | NOTAS: 200 m2 C/E asistencia tecnica",TEC,COT,CRM2,26/02/2024,Contactado,"Cotizacion Materiales, Asesoramiento Tecnico"
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: INFO GENERAL - ADOQUINES,INF,INF,CRM2,21/09/2023,Contactado,Informacion General
ETIQUETA: Email inválido | ESTADO: Nuevo | NOTAS: ARQUITECTOS,,INF,CRM2,13/05/2024,Nuevo,Email inválido
CIUDAD: Loja | MENSAJE: Buenos días estimados clientes adjunto la lista de precios actualizados aqui pueden ver los precios con beneficios para nuestros aplicadores,COT,COT,WhatsApp,27/5/2025,,
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: INFO MICROCEMENTO,INF,INF,CRM2,02/05/2024,Contactado,Informacion General
CIUDAD: Guayaquil | MENSAJE: Ya me comunico con usted por interno,INF,INF,WhatsApp,7/11/2025,,
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: info productos sello,INF,INF,CRM1,09/06/2023,Contactado,Informacion General
"ETIQUETA: Informacion General, Email inválido | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Buenos días necesito pigmento al por mayor para adoquines Asesor: Cual es tu nombre? Cliente: Soy Marcelino Asesor: Excelente Marcelino | NOTAS: INFO PIGMENTOS",INF,INF,CRM2,19/04/2024,Contactado,"Informacion General, Email inválido"
CIUDAD: Quito | MENSAJE: Este tipo  de productos y de aplicacion  mata el acabado de Microcemento  que estan hermoso !!!!,INF,TEC,WhatsApp,2/7/2025,,
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Buenas tardes, cuentan con un catalogo digital de colores de microcemento? Asesor: Cual es tu nombre? Cliente: Mi nombre es Michelle Gu | NOTAS: INFO MICRO",INF,INF,CRM2,07/09/2023,Contactado,Informacion General
CIUDAD: Manta | MENSAJE: Estimado buenas tardes envio catalogo de moldes y herramientas en las ultimas hojas puede visualizar el precio de las herramientas solicitadas,COT,COT,WhatsApp,12/6/2024,,
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: SE ENVIO PRESENTACION Y CATALOGOS JEVA,INF,INF,CRM1,23/03/2023,Contactado,Informacion General
CIUDAD: Quito | MENSAJE: Mñanaa te verifico 👍🏻,INF,INF,WhatsApp,17/2/2025,,
CIUDAD: Loja | MENSAJE: De segunda vendame,INF,INF,WhatsApp,22/4/2026,,
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Buenas Tardes Asesor: ¿Cómo estás? Cuéntame, ¿en que te puedo servir? Cliente: Por favor me pude dar informacion acerca del microcement | NOTAS: INFO GENERAL",INF,INF,CRM2,04/08/2023,Contactado,Informacion General
"ETIQUETA: Informacion General, Email inválido | ESTADO: Contactado | NOTAS: se le envio la información vía telefónica",INF,INF,CRM2,04/08/2023,Contactado,"Informacion General, Email inválido"
ETIQUETA: Informacion General | ESTADO: En seguimiento,INF,SEG,CRM1,15/05/2023,En seguimiento,Informacion General
CIUDAD: Manta | MENSAJE: ‎IMG-20251220-WA0000.jpg (archivo adjunto),,INF,WhatsApp,15/12/2025,,
CIUDAD: Quito | MENSAJE: ‎IMG-20260302-WA0035.jpg (archivo adjunto),,INF,WhatsApp,2/3/2026,,
CIUDAD: Cuenca | MENSAJE: Se necesita tener mucho cuidado en la dosificación y la pala se compra en mercado libre,TEC,VEN,WhatsApp,22/11/2025,,
CIUDAD: Manta | MENSAJE: Mañana es dia de coordinación  ajustes etc pero estaremos desde las 9h00,INF,INF,WhatsApp,4/3/2025,,
CIUDAD: Quito | MENSAJE: Adjunto precios de Aplicadores en los Kits,COT,COT,WhatsApp,17/2/2025,,
"ETIQUETA: Informacion General | ESTADO: En seguimiento | NOTAS: CLIENTE CONSTRUEX, INF C/E",INF,SEG,CRM2,24/06/2024,En seguimiento,Informacion General
CIUDAD: Quito | MENSAJE: Buenas tardes algún aplicador en macas ?,INF,INF,WhatsApp,18/8/2025,,
CIUDAD: Quito | MENSAJE: Hay algún pintor en el grupo que traje también con yeso acartonado,INF,INF,WhatsApp,21/4/2026,,
CIUDAD: Quito | MENSAJE: Tengan cuidado de usar pulidoras o productos muy abrasivos,TEC,INF,WhatsApp,8/4/2026,,
"CIUDAD: Quito | MENSAJE: Buenas tardes arquitecta, gracias por mantenernos informados, estaré haciendo llegar mis consultas.",INF,INF,WhatsApp,17/2/2025,,
CIUDAD: Guayaquil | MENSAJE: Hola buenos días,INF,INF,WhatsApp,8/9/2025,,
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: PIGMENTO 2 KG,INF,INF,CRM2,25/07/2023,Contactado,Informacion General
CIUDAD: Guayaquil | MENSAJE: ‎IMG-20251220-WA0004.jpg (archivo adjunto),,INF,WhatsApp,20/12/2025,,
"CIUDAD: Quito | MENSAJE: tendremos disponibilidad para la proxima semana , estamos esperando materia prima , por los temas de la guerra los buques estan retrasados",INF,INF,WhatsApp,22/4/2026,,
"ETIQUETA: Informacion General, Asesoramiento Tecnico | ESTADO: Visita Tecnica | NOTAS: 35 m2 micro / si esta interesada nos llamara",INF,TEC,CRM1,15/05/2023,Visita Tecnica,"Informacion General, Asesoramiento Tecnico"
"ETIQUETA: Cotización Obra, Informacion General | ESTADO: Contactado | NOTAS: PRECIO 89M2 MICRO PISO",COT,COT,CRM1,14/06/2023,Contactado,"Cotización Obra, Informacion General"
"ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: BASE DE DATOS LOJA,Información curso LOJA",CUR,CUR,CRM2,09/11/2023,Contactado,Informacion General
ETIQUETA: Email - Numero inválido | ESTADO: numero no valido | NOTAS: NUMERO NO VALIDO BASE DE DATOS,,INF,CRM2,09/11/2023,numero no valido,Email - Numero inválido
"CIUDAD: Loja | MENSAJE: Ya le enviaron  proforma de los materiales ,m",COT,COT,WhatsApp,26/11/2024,,
"ETIQUETA: Cotización Obra, Informacion General | ESTADO: Contactado",INF,INF,CRM1,06/07/2023,Contactado,"Cotización Obra, Informacion General"
"CIUDAD: Cuenca | MENSAJE: O si quiere mas claro puedes usar cuarzo gris claro ,desmoldante gris y luego le envejeces un poquito",TEC,INF,WhatsApp,24/11/2025,,
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Hola buenas tardes. Estoy buscando una opción para un piso que rodea a una piscina irregular. Actualmente está puesta una piedra laja c | NOTAS: cliente interesado en concreto estampado",INF,INF,CRM2,04/05/2024,Contactado,Informacion General
