texto_conversacion,intencion_predicha,confianza,revisar_manual
Podrían enviar la ubicación del restaurante por favor,INF,0.712,False
En la 5 de junio y manabi,INF,0.6537,False
Saludos Arquitecta así es,INF,0.8372,False
Se eliminó este mensaje.,INF,0.83,False
Ve unas tarde me puede enviar los tonos de micro cemento,INF,0.4419,True
y el acabado final logra con la experiencia del maestro o tecnico de aplicacion...,INF,0.6283,False
Aproximadamente de 4a5 días depende de la habilidad de los maestros y del estado de la superficie,INF,0.7467,False
Son el tipo terminado de placas  que se aprecia en la pared posterior,INF,0.6533,False
"Está hermoso, que herramientas uso?",TEC,0.8044,False
Buenos días por favor tal vez algún aplicador en Los Ríos (Buena fé)??,INF,0.7939,False
Es un efecto marmoleado 😂,INF,0.7853,False
"Buena tarde, mil gracias por la información.",INF,0.89,False
"Gracias Arq , la experiencia también cuenta",INF,0.82,False
"Hola, me refiero a estas dos imágenes",INF,0.789,False
Muy buenas tardes estimados clientes sean bienvenidos al grupo de información de Rocktec,INF,0.8517,False
"{'searches_user': [{'title': 'elementalstudio_co', 'string_list_data': [{'href': 'https://www.instagram.com/_u/elementalstudio_co', 'timestamp': 1778715397}]}]}",VEN,0.7504,False
https://maps.app.goo.gl/y1tnSohkBgGgRD318?g_st=awb,INF,0.738,False
"ya le reenvié la información, verifique por favor 👍🏻",INF,0.8075,False
El Cidap tiene parqueadero privado 👍🏻 pueden venir en sus autos,INF,0.5125,False
Muy buenas tardes estimados clientes sean bienvenidos a este grupo de información...,INF,0.8559,False
Buenos días me puede ayudar una información el microcemento reciste para una plataforma de un garaje donde se va a estacionar 3 vehículos,INF,0.5681,False
Podrían reenviar el último listado actualizado de precios 🙏,COT,0.9022,False
Ok comuníquense con Mayra por interno gracias,INF,0.9038,False
Buenas tardes algún aplicador en macas ?,INF,0.7919,False
Buenos dias con todos.  Empezamos en 5 minutos  👍🏻,INF,0.7748,False
Amigos suban sus videos y fotos del taller. Muchas gracias,CUR,1.0,False
"Buenas tardes, gracias.",INF,0.7967,False
"Buen dia, es un gusto para nosotros poder integrarlos a este grupo donde vamos a compartir información de gran relevancia para sus aplicaciones.",INF,0.7678,False
Las flores son hechas con algún objeto manual,INF,0.6776,False
"Buenas noches este es mi diseño,un favor si le pueden sacar en Microcemento con Roktec.??? Gracias.",INF,0.7055,False
Sería una te de aluminio,INF,0.8001,False
No duden en realizar sus preguntas sobre la aplicación de nuestros productos....,INF,0.7141,False
"¡Hola, estimados aplicadores!",INF,0.8723,False
Más parece una mala propaganda del microcemento.,TEC,0.5219,False
Buenos días lo recomendamos para ese uso,INF,0.5829,False
Obra realizada por Aplicador Maestro Patricio Suntasig <Se editó este mensaje.>,INF,0.6844,False
la llana de borde de Rocktec esta en 15  dolares,COT,0.891,False
Estamos gustosos de servirles,INF,0.8215,False
Chévere buen trabajo felicidades,INF,0.8014,False
